item_id,title,creator,type,genre,publication_date,page_count,average_rating
571,Optimized uniform Local Area Network,Christine Bell,book,thriller,2021-07-07,432,4.72
572,Up-sized dedicated encryption,Teresa Jones,book,thriller,2022-01-28,405,3.38
574,Organized scalable customer loyalty,Jamie James,book,thriller,2021-04-25,126,4.31
576,Down-sized methodical intranet,Kim Carter,book,romance,2022-01-26,935,3.38
578,Polarized 3rdgeneration task-force,Micheal Perkins,book,thriller,2021-11-11,467,4.01
580,Distributed neutral superstructure,Kevin Marquez,book,thriller,2020-11-01,364,4.45
583,Managed client-driven structure,Jaclyn Watson,book,mystery,2022-04-21,480,3.52
584,Distributed content-based ability,Kevin Morrow,book,fiction,2020-01-08,581,3.11
586,Open-architected intangible infrastructure,Brenda Gallegos,book,thriller,2024-10-23,490,4.06
587,Multi-layered human-resource matrix,Gloria Mckinney,book,non-fiction,2021-06-30,240,4.98
588,Reverse-engineered asynchronous installation,Brenda Copeland,book,sci-fi,2024-05-19,246,3.63
591,Versatile uniform hardware,Vanessa Rivera,book,non-fiction,2022-07-04,690,4.53
592,Pre-emptive scalable solution,Kara Roberts,book,fiction,2021-10-18,232,4.23
594,User-centric dynamic encryption,Michelle Krause,book,thriller,2022-05-06,482,4.9
599,Diverse 24/7 budgetary management,Crystal Meza,book,romance,2023-10-24,710,4.05
600,Stand-alone transitional info-mediaries,Amy Dougherty,book,non-fiction,2021-12-11,450,4.99
601,Reverse-engineered attitude-oriented model,Cody Hart,book,non-fiction,2024-07-04,268,4.9
604,Multi-tiered optimizing function,Karen Lopez,book,thriller,2023-08-17,766,4.58
605,Versatile upward-trending array,Greg Tanner,book,mystery,2020-07-02,889,4.07
606,Re-engineered zero-defect website,Anita Reyes,book,thriller,2021-09-05,210,4.31
607,Digitized encompassing synergy,Manuel Diaz,book,fiction,2021-01-01,526,3.89
608,User-friendly hybrid standardization,Kelly Rowe,book,sci-fi,2021-06-30,818,3.31
610,Vision-oriented tangible instruction set,Heather Maldonado,book,mystery,2022-08-01,737,4.21
611,Streamlined executive superstructure,Barbara Hunt,book,fiction,2022-02-10,623,4.44
612,Enhanced holistic contingency,Eddie Sanders,book,fiction,2023-06-24,609,3.4
613,Exclusive mobile contingency,Linda Miller,book,romance,2022-06-21,306,3.72
614,Customizable local open system,Lisa Grant,book,fiction,2024-01-11,661,3.99
615,Enterprise-wide dedicated approach,Ashley Schaefer,book,sci-fi,2023-09-16,438,3.47
616,Virtual content-based firmware,Andrew Duran,book,fiction,2024-11-14,955,4.15
617,Open-source leadingedge product,Mark Taylor Jr.,book,fiction,2024-07-09,898,4.02
623,Synchronized optimal utilization,Samantha Howard,book,sci-fi,2024-11-23,736,3.54
625,Multi-tiered real-time model,Dennis Cooper PhD,book,sci-fi,2024-11-22,378,4.67
632,Devolved 4thgeneration portal,Tamara Harris,book,sci-fi,2020-07-27,551,3.09
633,Progressive even-keeled standardization,Bethany Garcia,book,fiction,2023-09-18,821,4.74
637,Inverse 3rdgeneration productivity,Justin Smith,book,thriller,2021-10-04,756,3.77
641,Phased stable standardization,Charles Bush,book,fiction,2024-06-25,619,3.45
643,Universal client-server model,Bryan Thomas,book,sci-fi,2024-05-03,190,4.71
644,Universal motivating alliance,Louis Brown,book,sci-fi,2020-08-05,863,4.31
645,Cross-group exuding service-desk,Amy Kennedy,book,fiction,2024-12-09,670,4.1
655,Team-oriented full-range definition,Brenda Gallegos,book,sci-fi,2024-08-13,320,3.91
